,bak,en
274,"1920 йылда Әрмәнстанға Совет власы килгәс, республикаға Әрмән ССР-ы исеме бирелә.","In 1920, when the Soviet government came to Armenia, the republic received the name of [[w:Armenian Soviet Socialist Republic|Armenian SSR]]."
275,Мотоциклды ҡалдырҙым да тауға мендем.,I left the motorcycle and climbed the mountain.
276,Кавказда ир бала тыуыуҙы мылтыҡтан атып хəбəр итəлəр.,"In the Caucasus, they would fire a rifle to signal that a boy is born."
277,Йыр өҙөлдө; миңә ҡағылып китте Ғазраилдың ҡара ҡанат осо.,The song cut off; the tip of [[Azrael|Azraels]] black wing touched me (in passing).|q=[[:w:Mustai Karim|Mustai Karim]]
278,Арғы оста тағы бер аҙыҡ-түлек магазины бар.,There is another food shop at the far end (of the village).
279,Таң йондоҙо.,A morning star.
280,"Ҡыш йондоҙҙар баҙыҡ янһа – һалҡынға, тоноҡ янһа йылыға тарта.","In the winter, if the stars shine bright, (the weather tends)  towards cool, if (they) shine dimly, (the weather) tends towards warm."
281,Йосоп төш күрә. Төшөндә ун бер йондоҙ бер ай Йосопҡа баш эйгәнен күрә.,"Yusuf has a dream. In his dream, he sees that eleven stars and one moon incline their heads to Yusuf."
282,"Арағыҙҙа Криштиану Роналду исемле футбол йондоҙон белеүселәр барҙыр, моғайын.","Certainly, there those among you who know Cristiano Ronaldo, the football star."
283,Шыршы башына ҡатырғанан ҡырҡып ҡыҙыл йондоҙ ҡуйҙыҡ.,We put a red star cut from cardboard on top of the Cristmas tree.
284,Ялған хәбәр таратыу.,To spread fake news.
285,Өс уҡылмаған хәбәрегеҙ бар.,You have three unread messages.
286,Хәбәр һөйкәлеше.,Indicative mood.
287,Шәкәр һауыты.,Sugar bowl.
288,Шаҡмаҡ шәкәр.,Cube/lump sugar.
289,Шәкәр ҡушылмаған.,No sugar added.
290,"Сөгөлдөр шәкәре ҡамыштыҡынан эрерәк тә, һарыраҡ та.",Beet sugar is coarser and more yellow than cane (sugar).
291,Астың хәлен туҡ белмәй.,The well-fed does not know the condition of the hungry.
292,Тел нормаһы.,The language standard.
293,Салауат — башҡорт үҙаңының нормаһы.,[[:w:Salawat Yulayev|Salawat (Yulayev)]] is the standard of Bashkir (ethnic) self-identity.
294,Көндәлек норма.,The daily rate.
295,Аяғы-ҡулы һис уның балға тотоп йонсомаҫ.,His hands will never get tired of holding a large hammer.
296,"Бөтә эштәр ҡул менән — кәйлә, лом, балға һәм көрәк менән — башҡарыла.","All jobs are done manually, with pickaxe, crowbar, (large) hammer and shovel."
297,Өйгә тиклем ике саҡрымдай ара бар.,It is a distance of about two kilometers to home.
298,Ҡом бураны.,Sandstorm.
299,Башҡорт теле.,The Bashkir language.
300,Әлеге көндә копт теле тик сиркәү теле булараҡ ҡына һаҡланған.,"By these days, the Coptic language has been preserved as an ecclesiastical language only."
301,...һәр тел Ғайса Мәсихте Раббы тип таныһын.,...let every tongue acknowledge Jesus Christ as the Lord.|q=Philippians 2:11
304,"Баланы нисек бар, шулай яратығыҙ.",Love the child the way (he/she) is.
309,Эт сынйырынан ысҡынған.,The dog has broken free of its chain.
310,Һунарсы этһеҙ йөрөмәй.,A hunter wont go around without a dog.
311,Үләкһә бар ерҙә эт һимерә.,"In a place where there is carrion, the dog will get fat.|ref=[[:w:Miftahetdin Akmulla| (Aqmulla)]]"
312,"Бүреләр ауылға яҡын килһә, эттәр өрә башлай.","If wolves come close to the village, dogs begin to bark."
313,"Тап шундай берәҙәк эттәр ваҡ мал һәм ҡош-ҡорт өсөн генә түгел, кеше өсөн дә хәүефле.","Exactly this type of stray dogs is dangerous not only to small cattle and poultry, but also to humans."
314,"Бүреләр ауылға яҡын килһә, эттәр өрә башлай.","If wolves come close to the village, dogs begin to bark."
315,Көн яҡтыһы.,Day light.
316,Көн һайын.,Every day.
317,Көнө буйы.,All day long.
318,Ял көнө.,Day off.
319,Арпа алтмыш көндә өлгөрә.,Barley matures in sixty days.
320,Көн тыуа.,The sun rises.
321,Көн байый.,The sun sets.
322,Көн һуңғы тапҡыр 2008 йылдың йәйендә тотолдо.,The sun was eclipsed (=there was a solar eclipse) last time in the summer of 2008.
323,Көн тейгәндә тәүге ярҙам.,First aid for sunstroke.
324,Кейемең көнгә уңған.,Your clothes were discolored by the sun.
325,"Зөбәржәт ҡарсыҡ уҫал булды, килененә көн бирмәне.",The old Zubarjat was evil (and) made life impossible for her daughter-in-law (=never left her daughter-in-law in peace).
326,"Тау артылып, һыу кисеп, // Ҡара урмандар үтеп, //Һаман алға киткән, ти.","(The two brothers - Ural and Shulgan) walked on and on, crossing mountains, fording rivers, passing through dark forests."
327,...Йәһүҙиәлә булғандар тауҙарға ҡасһын.,...let those who are in Judea flee to the mountains.|q=Mark 13:14
328,Мотоциклды ҡалдырҙым да тауға мендем.,I left the motorcycle and climbed the mountain.
329,Һәр балыҡсы үҙ күлен маҡтай.,Eacher fisherman praises his lake.
330,Ҡашҡаҙан күлендә аҡҡоштар оялаған.,Swans have settled down on the Qashqadan lake.
331,"Күлде ҡамыш матурлай, ирҙе намыҫ матурлай.","Cattail makes a lake nice, honor makes a man handsome."
332,Күк көмбәҙе.,The arch of the sky.
333,Ватаныбыҙ күге аяҙ булһын!,May the sky of our motherland be clear!
334,...шәрә күктә ҡояш — ут йомғағы.,"...in the naked sky, (there is) the sun, a ball of fire.|q=[[:w:Mustai Karim|Mustai Karim]]"
335,"Һеҙ хазинаны күктә йыйығыҙ: унда көйә лә ҡырҡмай, тут та баҫмай, ҡараҡтар ҙа инеп урламай.","Collect (your) treasure in the sky: there, moth does not cut, rust does not corrupt, and thieves do not enter and steal.|q=Matthew 6:19"
336,Берәү ишек туҡылдата.,Someone is knocking at the door.
340,Көлдә бешкән икмәк.,Bread baked in the ashes.
341,Усаҡ тирәһендәгеләрҙең береһе уға икмәк һондо.,One of those (sitting) around the bonfire held out (some) bread to him.
342,"Әсәһе үлгәс, атаһы өйгә үгәй әсә алып ҡайтҡан.","When her mother died, her father brought home a stepmother."
343,Бар ҡоштарға баш булған [[Самрау]] атлы атам бар.,"I have my father with the name of Samraw, who is the master of all birds."
344,Аттың [[тышау|тышауы]] ысҡынған.,The horses hobble has come loose.
345,"Атлан, батыр, атҡа, тот һөңгөңдө!","Young man, mount a horse, take your spear!"
346,Ат — кешенең тоғро юлдашы.,The horse is mans faithful companion.
347,Яҡшы атҡа сыбыртҡы кәрәкмәй.,"For a good horse, no whip is needed."
348,"Егет, тыңла һүҙемде. Асыҡ күрҙең йөҙөмдө, Айһылыу тигән атым бар.","Young man, listen to what I say. You have clearly seen my face, I have my name that is Ayhïlïw."
349,Бар ҡоштарға баш булған [[Самрау]] атлы атам бар.,"I have a father with the name of Samraw, who is the master of all birds."
350,Ун туғыҙынсы быуатта Уралда йәнә алтын биҙгәге башланды.,"In the nineteenth century, the gold rush resumed in the Urals."
351,Сал Уралдан башҡа юҡ башҡорттоң төйәге.,The Bashkirs do not have other homeland than the gray Urals.
